zipCode,latitude,longitude,price,numBeds,numBaths,area,address,timeOnZillow,detailURL
37920,35.961002,-83.90532,"$1,750+/mo",1,1.0,750,"906 Waterfront Dr, Knoxville, TN",2074495916,/apartments/knoxville-tn/south-banks-at-suttree-landing/BtBhVS/
37920,35.948296,-83.98538,"$1,376+/mo",1,1.0,645,"800 Longview Rd, Knoxville, TN",610149913,/apartments/knoxville-tn/crestridge/5XqjXV/
37920,35.967197,-83.91735,"$1,777+/mo",0,1.0,500,"300 State St, Knoxville, TN",163590652,/apartments/knoxville-tn/marble-alley-lofts/63Pyy3/
37920,35.9617,-83.92088,"$1,487+/mo",0,1.0,463,"700 Henley St SW, Knoxville, TN",142271838,/apartments/knoxville-tn/church-and-henley/C4QvgJ/
37920,35.954903,-83.91602,"$1,948+/mo",1,1.0,640,"221 E Blount Ave, Knoxville, TN",846374763,/apartments/knoxville-tn/one-riverwalk/BKB5H2/
37920,35.95495,-83.91577,"$1,848+/mo",1,1.0,640,"221 E Blount Ave, Knoxville, TN",1355479387,/apartments/knoxville-tn/one-riverwalk/BKB5H2/
37920,35.932896,-83.96125,"$1,375+/mo",1,1.0,828,"3636 Taliluna Ave, Knoxville, TN",1464625275,/b/sequoyah-square-condominiums-knoxville-tn-5Xwnxt/
37920,35.923527,-83.998116,"$3,300/mo",3,2.0,1754,"6216 Creswell Dr, Knoxville, TN 37919",652805804,/homedetails/6216-Creswell-Dr-Knoxville-TN-37919/41678943_zpid/
37920,35.968452,-83.917885,"$2,400/mo",2,1.0,1300,"102 W Summit Hill Dr APT 202, Knoxville, TN 37902",589714270,/homedetails/102-W-Summit-Hill-Dr-APT-202-Knoxville-TN-37902/2087624618_zpid/
37920,35.967525,-83.919014,"$3,200/mo",4,3.0,2653,"9706 Fire Tower Ln, Knoxville, TN 37922",487531016,/homedetails/9706-Fire-Tower-Ln-Knoxville-TN-37922/331312685_zpid/
37920,35.85118,-83.69631,"$3,600/mo",3,3.0,2500,"12846 Chapman Hwy, Seymour, TN 37865",6968018243,/homedetails/12846-Chapman-Hwy-Seymour-TN-37865/42487844_zpid/
37920,35.953613,-83.89722,"$1,695/mo",3,2.0,960,"1321 Baker Ave, Knoxville, TN 37920",743551281,/homedetails/1321-Baker-Ave-Knoxville-TN-37920/41669205_zpid/
37920,35.85751,-83.95542,"$1,450/mo",2,2.5,1523,"936 Warrior Hill Dr #1, Louisville, TN 37777",32039101,/homedetails/936-Warrior-Hill-Dr-1-Louisville-TN-37777/2071166014_zpid/
37920,35.94962,-83.99374,"$1,797/mo",2,2.5,1130,"4913 Azalea Dr, Knoxville, TN 37909",64623760,/homedetails/4913-Azalea-Dr-Knoxville-TN-37909/41666815_zpid/
37920,35.95522,-83.89187,"$3,000/mo",3,2.0,,"1725 Lenland Ave, Knoxville, TN 37920",13580487,/homedetails/1725-Lenland-Ave-Knoxville-TN-37920/41669343_zpid/
37920,35.91492,-83.91288,"$1,800/mo",2,1.0,1200,"941 Brown Rd, Knoxville, TN 37920",1199900707,/homedetails/941-Brown-Rd-Knoxville-TN-37920/41694764_zpid/
37920,35.950436,-83.88599,"$1,950/mo",3,2.0,1300,"3032 Dodd St SE, Knoxville, TN 37920",217813182,/homedetails/3032-Dodd-St-SE-Knoxville-TN-37920/41669539_zpid/
37920,35.857468,-83.95538,"$1,450/mo",2,2.5,1423,"934 Warrior Hill Dr #1, Louisville, TN 37777",244380164,/homedetails/934-Warrior-Hill-Dr-1-Louisville-TN-37777/2071166054_zpid/
37920,35.856987,-83.95499,"$1,450/mo",2,2.5,1518,"916 Warrior Hill Dr #1, Louisville, TN 37777",323520411,/homedetails/916-Warrior-Hill-Dr-1-Louisville-TN-37777/2068787878_zpid/
37920,35.95961,-83.97957,$995/mo,1,1.0,490,"1727 Kim Watt Dr #1727-C, Knoxville, TN 37909",791172223,/b/01727k-knoxville-tn-9F2FMZ/
37920,35.9221,-83.89279,"$1,695/mo",3,1.0,1008,"320 Beechwood Dr, Knoxville, TN 37920",133461559,/homedetails/320-Beechwood-Dr-Knoxville-TN-37920/116205036_zpid/
