zipCode,latitude,longitude,price,numBeds,numBaths,area,address,timeOnZillow,detailURL
37920,35.961002,-83.90532,1750.0,1,1.0,750,"906 Waterfront Dr, Knoxville, TN",73987291,/apartments/knoxville-tn/south-banks-at-suttree-landing/BtBhVS/
37920,35.948296,-83.98538,1389.0,1,1.0,645,"800 Longview Rd, Knoxville, TN",975162664,/apartments/knoxville-tn/crestridge/5XqjXV/
37920,35.967197,-83.91735,1692.0,0,1.0,500,"300 State St, Knoxville, TN",528603303,/apartments/knoxville-tn/marble-alley-lofts/63Pyy3/
37920,35.9617,-83.92088,1505.0,0,1.0,463,"700 Henley St SW, Knoxville, TN",507284589,/apartments/knoxville-tn/church-and-henley/C4QvgJ/
37920,35.954903,-83.91602,1948.0,1,1.0,640,"221 E Blount Ave, Knoxville, TN",1211387514,/apartments/knoxville-tn/one-riverwalk/BKB5H2/
37920,35.95495,-83.91577,1848.0,1,1.0,640,"221 E Blount Ave, Knoxville, TN",1720492138,/apartments/knoxville-tn/one-riverwalk/BKB5H2/
37920,35.932896,-83.96125,1375.0,1,1.0,828,"3636 Taliluna Ave, Knoxville, TN",1829638026,/b/sequoyah-square-condominiums-knoxville-tn-5Xwnxt/
37920,35.90484,-83.99423,2400.0,3,2.0,1540,"1731 Polkwright Ln, Knoxville, TN 37919",423342204,/homedetails/1731-Polkwright-Ln-Knoxville-TN-37919/41693660_zpid/
37920,35.9209,-83.94865,2950.0,3,2.5,2314,"2338 Birch Hollow Ln, Knoxville, TN 37920",683763958,/homedetails/2338-Birch-Hollow-Ln-Knoxville-TN-37920/2056063466_zpid/
37920,35.967525,-83.919014,3200.0,4,3.0,2653,"9706 Fire Tower Ln, Knoxville, TN 37922",852543767,/homedetails/9706-Fire-Tower-Ln-Knoxville-TN-37922/331312685_zpid/
37920,35.85118,-83.69631,3600.0,3,3.0,2500,"12846 Chapman Hwy, Seymour, TN 37865",7333030994,/homedetails/12846-Chapman-Hwy-Seymour-TN-37865/42487844_zpid/
37920,35.88753,-83.75043,1100.0,1,1.0,700,"551 S Old Sevierville Pike, Seymour, TN 37865",7734384,/b/551-s-old-sevierville-pike-seymour-tn-9QfdWH/
